,id,context,question,answers
0,0,capidextre,ambipom,"{""text"": [""capidextre""], ""answer_start"": [0]}"
1,1,efflèche,dartrix,"{""text"": [""effl\u00e8che""], ""answer_start"": [0]}"
2,2,sepiatroce,malamar,"{""text"": [""sepiatroce""], ""answer_start"": [0]}"
3,3,croquine,bounsweet,"{""text"": [""croquine""], ""answer_start"": [0]}"
4,4,"eh, astérix et obélix sont de retour.",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [15]}"
5,5,"quand obélix va, tout va",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [6]}"
6,6,"non, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [5]}"
7,7,"astérix, obélix et panoramix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [9]}"
8,8,"- tu permets, obélix ?",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [14]}"
9,9,astérix ! obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [10]}"
10,10,césar est puissant ! ii a fait un pacte avec les forces des ténèbres. les dieux seuls savent quels obstacles terribles devront encore franchir astérix et obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [154]}"
11,11,"on y va, obélix ?",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [9]}"
12,12,"regarde astérix, obélix n'est vraiment pas dans son état normal.",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [17]}"
13,13,on va ramener obélix chez gaulix.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [14]}"
14,14,"– non, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [7]}"
15,15,– mais tu as faim obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [18]}"
16,16,n'est-ce pas obélix ?,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [13]}"
17,17,astérix et obélix ne devraient plus quitter le village.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [11]}"
18,18,– obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
19,19,– obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
20,20,– obélix ! c'est toi ...qui as jeté ce menhir ?,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
21,21,"non, obélix ! tu es tombé...",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [5]}"
22,22,"qu'est-ce que tu en penses, obélix ?",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [28]}"
23,23,obé... obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [7]}"
24,24,obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
25,25,"bravo, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [7]}"
26,26,"tu es un brise-tout, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [21]}"
27,27,"tiens, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [7]}"
28,28,obélix ! coupe 3 parts du gâteau.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
29,29,c'est un peu comme si je croisais... obélix en vrai.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [37]}"
30,30,obélix ! puis-je ?,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
